epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,657.892,1.04077,0.51945,0.90349,0.90289,0.86641,0.9195,0.53227,1.15716,0.54827,0.93145,0.0090199,0.0090199,0.0090199
101,664.704,1.05078,0.52146,0.90566,0.90778,0.86249,0.9272,0.54608,1.14589,0.53733,0.92785,0.00901,0.00901,0.00901
102,671.369,1.05068,0.50663,0.91012,0.91908,0.86882,0.93009,0.55326,1.15209,0.5231,0.93336,0.0090001,0.0090001,0.0090001
103,678.079,1.03918,0.50346,0.91842,0.91277,0.87344,0.92841,0.54587,1.14168,0.5215,0.9245,0.0089902,0.0089902,0.0089902
104,684.618,1.03223,0.49942,0.8974,0.90574,0.86926,0.9256,0.5476,1.15059,0.51533,0.92652,0.0089803,0.0089803,0.0089803
105,691.262,1.04233,0.50613,0.90541,0.92823,0.80944,0.85728,0.49516,1.23293,0.77192,0.95152,0.0089704,0.0089704,0.0089704
106,697.691,1.04737,0.51173,0.90724,0.91704,0.84563,0.91673,0.53871,1.19406,0.50996,0.94497,0.0089605,0.0089605,0.0089605
107,704.076,1.03364,0.50887,0.90177,0.87089,0.88183,0.91966,0.53848,1.15943,0.51587,0.93447,0.0089506,0.0089506,0.0089506
108,710.612,1.02026,0.50072,0.90675,0.8857,0.87292,0.92095,0.53502,1.20138,0.54088,0.95671,0.0089407,0.0089407,0.0089407
109,717.184,1.04151,0.50894,0.90152,0.88635,0.87857,0.92564,0.54262,1.19094,0.50683,0.94375,0.0089308,0.0089308,0.0089308
110,723.7,1.02571,0.50397,0.90551,0.87518,0.83449,0.88106,0.49793,1.22287,0.61453,0.94105,0.0089209,0.0089209,0.0089209
111,730.349,1.04535,0.51177,0.89895,0.91301,0.87344,0.928,0.55662,1.14894,0.5149,0.92721,0.008911,0.008911,0.008911
112,737.036,1.03683,0.50624,0.90332,0.91678,0.88317,0.93748,0.57001,1.13861,0.50427,0.93055,0.0089011,0.0089011,0.0089011
113,743.595,1.04552,0.50906,0.90854,0.90414,0.879,0.93194,0.56947,1.13395,0.51192,0.92407,0.0088912,0.0088912,0.0088912
114,750.117,1.03201,0.50032,0.90277,0.91469,0.88178,0.93501,0.56888,1.1539,0.50478,0.93566,0.0088813,0.0088813,0.0088813
115,756.774,1.0073,0.48757,0.90043,0.90791,0.90498,0.9327,0.55193,1.16473,0.52623,0.93086,0.0088714,0.0088714,0.0088714
116,763.163,1.02267,0.50245,0.91191,0.90106,0.80529,0.87657,0.52852,1.20895,0.56086,0.93694,0.0088615,0.0088615,0.0088615
117,769.551,1.00688,0.49918,0.89428,0.91173,0.89064,0.93336,0.55595,1.15233,0.50452,0.92889,0.0088516,0.0088516,0.0088516
118,776.036,1.03598,0.50664,0.91834,0.90773,0.88039,0.92587,0.5448,1.1553,0.50553,0.94056,0.0088417,0.0088417,0.0088417
119,782.557,1.04209,0.5107,0.89826,0.90727,0.86509,0.92576,0.55733,1.15842,0.51693,0.93685,0.0088318,0.0088318,0.0088318
120,789.175,1.05111,0.51907,0.90739,0.91467,0.8637,0.92598,0.5551,1.17882,0.51503,0.93263,0.0088219,0.0088219,0.0088219
121,795.619,1.03069,0.50889,0.90314,0.90226,0.87622,0.925,0.55416,1.17331,0.50678,0.93301,0.008812,0.008812,0.008812
122,802.12,1.03158,0.49788,0.90702,0.91469,0.89013,0.94018,0.57086,1.13162,0.51249,0.92611,0.0088021,0.0088021,0.0088021
123,808.629,1.01458,0.50239,0.89717,0.93753,0.87622,0.9362,0.56322,1.16025,0.50846,0.92507,0.0087922,0.0087922,0.0087922
124,815.134,0.99875,0.48498,0.8935,0.90042,0.86775,0.92303,0.55011,1.166,0.50424,0.92766,0.0087823,0.0087823,0.0087823
125,821.723,1.0208,0.49509,0.9008,0.88793,0.85257,0.89967,0.52196,1.17448,0.51532,0.93279,0.0087724,0.0087724,0.0087724
126,828.155,1.00502,0.48914,0.89396,0.87094,0.86648,0.9022,0.53496,1.16336,0.53955,0.93042,0.0087625,0.0087625,0.0087625
127,834.588,1.03545,0.50318,0.90403,0.91011,0.86787,0.92447,0.54533,1.1661,0.52371,0.92968,0.0087526,0.0087526,0.0087526
128,841.09,0.99624,0.4966,0.89375,0.9055,0.87483,0.92744,0.55605,1.13166,0.50828,0.91829,0.0087427,0.0087427,0.0087427
129,847.558,1.0084,0.49471,0.88504,0.91521,0.88039,0.93328,0.55561,1.15051,0.50246,0.92839,0.0087328,0.0087328,0.0087328
130,854.066,1.01328,0.49108,0.89924,0.94025,0.85357,0.93472,0.55873,1.14898,0.50069,0.9247,0.0087229,0.0087229,0.0087229
131,860.566,1.01262,0.49969,0.90515,0.94179,0.85814,0.93324,0.54645,1.1579,0.51149,0.93293,0.008713,0.008713,0.008713
132,867.028,1.03874,0.50741,0.89822,0.91457,0.88317,0.93051,0.56836,1.1346,0.50358,0.91844,0.0087031,0.0087031,0.0087031
133,873.527,0.99793,0.48528,0.89453,0.92328,0.88705,0.94416,0.56302,1.14158,0.50355,0.92406,0.0086932,0.0086932,0.0086932
134,880.023,0.99392,0.49454,0.89745,0.89509,0.87809,0.92211,0.55031,1.14998,0.50821,0.92651,0.0086833,0.0086833,0.0086833
135,886.479,1.01731,0.49468,0.90291,0.90394,0.85075,0.91342,0.53484,1.19323,0.53106,0.93337,0.0086734,0.0086734,0.0086734
136,892.997,1.02755,0.49398,0.91236,0.91403,0.89291,0.92365,0.55813,1.17912,0.5079,0.92854,0.0086635,0.0086635,0.0086635
137,899.423,1.00421,0.49312,0.89118,0.90996,0.88551,0.93394,0.55872,1.1646,0.49803,0.94077,0.0086536,0.0086536,0.0086536
138,905.854,0.97766,0.47333,0.89522,0.89748,0.85396,0.9173,0.54336,1.14253,0.51124,0.92806,0.0086437,0.0086437,0.0086437
139,912.296,1.00077,0.48334,0.89269,0.89656,0.86648,0.9244,0.56117,1.11082,0.49272,0.91655,0.0086338,0.0086338,0.0086338
140,918.82,0.98827,0.4768,0.90123,0.8984,0.88548,0.93553,0.56864,1.13148,0.50036,0.92386,0.0086239,0.0086239,0.0086239
141,925.298,0.97492,0.47656,0.89759,0.91541,0.87483,0.93369,0.57465,1.09777,0.48038,0.91168,0.008614,0.008614,0.008614
142,932.054,0.97799,0.47374,0.8933,0.88921,0.879,0.923,0.55643,1.13879,0.50679,0.92067,0.0086041,0.0086041,0.0086041
143,938.825,1.00221,0.48279,0.89043,0.89481,0.90403,0.93536,0.57166,1.11732,0.49466,0.91366,0.0085942,0.0085942,0.0085942
144,945.25,0.95806,0.47215,0.89375,0.91306,0.8764,0.93414,0.5725,1.12052,0.48791,0.92089,0.0085843,0.0085843,0.0085843
145,951.681,0.97077,0.47635,0.88623,0.91896,0.86746,0.92913,0.55548,1.14745,0.48799,0.93288,0.0085744,0.0085744,0.0085744
146,958.162,0.99315,0.47648,0.88847,0.90657,0.90682,0.94203,0.58446,1.09929,0.47741,0.91341,0.0085645,0.0085645,0.0085645
147,964.586,0.993,0.47574,0.88587,0.92406,0.88002,0.94146,0.57913,1.12962,0.48359,0.92841,0.0085546,0.0085546,0.0085546
148,971.022,0.98171,0.47623,0.88925,0.91561,0.88178,0.93301,0.5717,1.1064,0.47824,0.91802,0.0085447,0.0085447,0.0085447
149,977.459,0.99002,0.47969,0.89739,0.91897,0.86648,0.93064,0.56149,1.12233,0.49453,0.92283,0.0085348,0.0085348,0.0085348
150,984.102,0.98261,0.48115,0.8932,0.90907,0.8637,0.92101,0.54548,1.15773,0.49811,0.92969,0.0085249,0.0085249,0.0085249
151,990.705,0.98572,0.47489,0.89473,0.90098,0.88456,0.92767,0.55717,1.14427,0.50424,0.93359,0.008515,0.008515,0.008515
152,997.302,0.97913,0.47187,0.88985,0.91008,0.89013,0.93414,0.56743,1.12012,0.48522,0.90934,0.0085051,0.0085051,0.0085051
153,1003.92,0.99655,0.47301,0.9028,0.91583,0.86262,0.93118,0.56763,1.14445,0.48033,0.92879,0.0084952,0.0084952,0.0084952
